site_ID,startDate,start_time,time_num_24,diff,start_time_fix
Mohican_3,16/6/2023,0.772222222,NA,NA,0.772222222
Narbethong,17/5/2023,0.777777778,NA,NA,0.777777778
Tarrango,10/7/2023,NA,0.727777778,NA,NA
Troop,15/3/2023,NA,NA,NA,NA
Troop,16/3/2023,NA,NA,NA,NA
Yellowdindi,11/5/2023,0.846527778,NA,NA,0.846527778
Merger,31/8/2023,0.971527778,0.75625,0.215277778,0.95
United,31/8/2023,0.95,0.75625,0.19375,0.95
297-806-0001,13/9/2023,0.821527778,0.75,0.071527778,0.75
209-502-0002,16/8/2023,0.815972222,0.777777778,0.038194444,0.777777778
Canvas,31/8/2023,0.925694444,0.895138889,0.030555556,0.895138889
Murrindindi,16/5/2023,0.811111111,0.780555556,0.030555556,0.780555556
299-944-0002,25/9/2023,0.826388889,0.798611111,0.027777778,0.798611111
Narbethong,22/5/2023,0.782638889,0.759027778,0.023611111,0.759027778
Yellowdindi,9/5/2023,0.952083333,0.935416667,0.016666667,0.935416667
Alfred,6/6/2023,0.763888889,0.749305556,0.014583333,0.749305556
299-510-0007,7/8/2023,0.784027778,0.770833333,0.013194444,0.770833333
Babbington,28/9/2023,0.820833333,0.807638889,0.013194444,0.807638889
Mohican_2,24/5/2023,0.792361111,0.780555556,0.011805556,0.780555556
Alfred,5/6/2023,0.761111111,0.751388889,0.009722222,0.751388889
Coliban,1/3/2023,0.885416667,0.875694444,0.009722222,0.875694444
Kinglake,18/9/2023,0.827777778,0.818055556,0.009722222,0.818055556
Narbethong,12/7/2023,0.788888889,0.779166667,0.009722222,0.779166667
Murrindindi,10/5/2023,0.809027778,0.800694444,0.008333333,0.800694444
Backdoor,13/2/2023,0.902083333,0.895833333,0.00625,0.895833333
Mohican_2,23/5/2023,0.901388889,0.895138889,0.00625,0.895138889
Mohican_3,24/5/2023,0.7875,0.78125,0.00625,0.78125
Castella,28/8/2023,0.794444444,0.788888889,0.005555556,0.788888889
Mohican_3,23/5/2023,0.765972222,0.761111111,0.004861111,0.761111111
Gags,12/9/2023,0.815972222,0.811111111,0.004861111,0.811111111
Troop,15/12/2022,0.715972222,0.711805556,0.004166667,0.711805556
Mash,13/9/2023,0.959027778,0.955555556,0.003472222,0.955555556
300-503-0001,18/12/2023,0.909027778,0.90625,0.002777778,0.90625
300-910-0007,18/12/2023,0.992361111,0.989583333,0.002777778,0.989583333
Ginters,23/5/2023,0.793055556,0.790277778,0.002777778,0.790277778
Mohican_1,17/5/2023,0.90625,0.903472222,0.002777778,0.903472222
Ginters,22/5/2023,0.797222222,0.795138889,0.002083333,0.795138889
Babbington,18/10/2023,0.948611111,0.946527778,0.002083333,0.946527778
Quodpod,18/7/2023,0.777777778,0.775694444,0.002083333,0.775694444
Mohican_1,22/5/2023,0.984027778,0.982638889,0.001388889,0.982638889
Osborne,8/3/2023,0.997916667,0.997222222,0.000694444,0.997222222
Boola,22/6/2023,0.795138889,0.795833333,-0.000694444,0.795138889
Quodpod,24/7/2023,0.8,0.800694444,-0.000694444,0.8
Davis,31/8/2023,0.680555556,0.755555556,-0.075,0.680555556
Tarrango,23/6/2023,0.75625,0.858333333,-0.102083333,0.75625